country,location_name,timezone,last_updated,travel_safety
Maldives,Felidhoo,Indian/Maldives,2024-05-16 13:45,Caution
Mali,Bamako,Africa/Bamako,2024-05-16 08:45,Safe
Malta,Valletta,Europe/Malta,2024-05-16 10:45,Caution
Marshall Islands,Majuro,Pacific/Majuro,2024-05-16 20:45,Caution
Mauritania,Nouakchott,Africa/Nouakchott,2024-05-16 08:45,Caution
Mauritius,Port Louis,Indian/Mauritius,2024-05-16 12:45,Caution
Mexico,Mexico City,America/Mexico_City,2024-05-16 02:45,Caution
Micronesia,Palikir,Pacific/Pohnpei,2024-05-16 19:45,Caution
Iran,Chi Chi Khvar,Asia/Tehran,2024-05-16 12:15,Caution
Monaco,Monaco,Europe/Monaco,2024-05-16 10:45,Caution
Mongolia,Ulaanbaatar,Asia/Ulaanbaatar,2024-05-16 16:45,Safe
Montenegro,Podgorica,Europe/Podgorica,2024-05-16 10:45,Caution
Morocco,Rabat,Africa/Casablanca,2024-05-16 09:45,Safe
Mozambique,Maputo,Africa/Maputo,2024-05-16 10:45,Safe
Myanmar,Pathein,Asia/Yangon,2024-05-16 15:15,Safe
Namibia,Windhoek,Africa/Windhoek,2024-05-16 10:45,Caution
Turkey,Yaren,Europe/Istanbul,2024-05-16 11:45,Safe
Nepal,Kathmandu,Asia/Kathmandu,2024-05-16 14:30,Caution
Netherlands,Amsterdam,Europe/Amsterdam,2024-05-16 10:45,Unsafe
New Zealand,Wellington,Pacific/Auckland,2024-05-16 20:45,Caution
Nicaragua,Managua,America/Managua,2024-05-16 02:45,Caution
Niger,Niamey,Africa/Niamey,2024-05-16 09:45,Safe
Nigeria,Abuja,Africa/Lagos,2024-05-16 09:45,Safe
North Korea,Pyongyang,Asia/Pyongyang,2024-05-16 17:45,Safe
Macedonia,Skopje,Europe/Skopje,2024-05-16 10:45,Caution
Norway,Oslo,Europe/Oslo,2024-05-16 10:45,Safe
Oman,Muscat,Asia/Muscat,2024-05-16 12:45,Caution
Pakistan,Islamabad,Asia/Karachi,2024-05-16 13:45,Caution
Palau,Meyungs,Pacific/Palau,2024-05-16 17:45,Safe
Bolivia,National,America/La_Paz,2024-05-16 04:45,Caution
Panama,Panama City,America/Panama,2024-05-16 03:45,Unsafe
Papua New Guinea,Port Moresby,Pacific/Port_Moresby,2024-05-16 18:45,Caution
Paraguay,Pasto,America/La_Paz,2024-05-16 04:45,Caution
Peru,Lima,America/Lima,2024-05-16 03:45,Caution
Philippines,Manila,Asia/Manila,2024-05-16 16:45,Caution
Poland,Warsaw,Europe/Warsaw,2024-05-16 10:45,Safe
Portugal,Lisbon,Europe/Lisbon,2024-05-16 09:45,Caution
Qatar,Doha,Asia/Qatar,2024-05-16 11:45,Caution
Romania,Bucharest,Europe/Bucharest,2024-05-16 11:45,Safe
Russia,Moscow,Europe/Moscow,2024-05-16 11:45,Safe
Rwanda,Kigali,Africa/Kigali,2024-05-16 10:45,Safe
Saint Kitts and Nevis,Basseterre,America/St_Kitts,2024-05-16 04:45,Caution
Saint Lucia,Castries,America/St_Lucia,2024-05-16 04:45,Caution
Saint Vincent and the Grenadines,Kingstown,America/St_Vincent,2024-05-16 04:45,Caution
Samoa,Apia,Pacific/Apia,2024-05-16 21:45,Unsafe
San Marino,San Marino,Europe/Rome,2024-05-16 10:45,Caution
Belgium,'S Gravenstaffel,Europe/Brussels,2024-05-16 10:45,Unsafe
Saudi Arabia,Riyadh,Asia/Riyadh,2024-05-16 11:45,Caution
Senegal,Dakar,Africa/Dakar,2024-05-16 08:45,Caution
Serbia,Belgrade,Europe/Belgrade,2024-05-16 10:45,Caution
Seychelles Islands,Victoria,Indian/Mahe,2024-05-16 12:45,Caution
Sierra Leone,Freetown,Africa/Freetown,2024-05-16 08:45,Caution
Singapore,Singapore,Asia/Singapore,2024-05-16 16:45,Caution
Slovakia,Bratislava,Europe/Bratislava,2024-05-16 10:45,Caution
Slovenia,Ljubljana,Europe/Ljubljana,2024-05-16 10:45,Caution
Solomon Islands,Honiara,Pacific/Guadalcanal,2024-05-16 19:45,Caution
Somalia,Mogadishu,Africa/Mogadishu,2024-05-16 11:45,Caution
South Africa,Pretoria,Africa/Johannesburg,2024-05-16 10:45,Unsafe
South Korea,Seoul,Asia/Seoul,2024-05-16 17:45,Caution
Sudan,Juba,Africa/Khartoum,2024-05-16 10:45,Caution
Spain,Madrid,Europe/Madrid,2024-05-16 10:45,Safe
Sri Lanka,Colombo,Asia/Colombo,2024-05-16 14:15,Unsafe
Sudan,Khartoum,Africa/Khartoum,2024-05-16 10:45,Caution
Suriname,Paramaribo,America/Paramaribo,2024-05-16 05:45,Unsafe
Sweden,Stockholm,Europe/Stockholm,2024-05-16 10:45,Safe
Switzerland,Bern,Europe/Zurich,2024-05-16 10:45,Caution
Syria,Damascus,Asia/Damascus,2024-05-16 11:45,Safe
Tajikistan,Dushanbe,Asia/Dushanbe,2024-05-16 13:45,Safe
Tanzania,Dodoma,Africa/Dar_es_Salaam,2024-05-16 11:45,Safe
Thailand,Bangkok,Asia/Bangkok,2024-05-16 15:45,Unsafe
Timor-Leste,Dili,Asia/Dili,2024-05-16 17:45,Caution
Bulgaria,Lom,Europe/Bucharest,2024-05-16 11:45,Caution
Tonga,Nuku`Aloia,Pacific/Tongatapu,2024-05-16 21:45,Unsafe
Trinidad and Tobago,Port Of Spain,America/Port_of_Spain,2024-05-16 04:45,Caution
Tunisia,Tunis,Africa/Tunis,2024-05-16 09:45,Safe
Turkey,Ankara,Europe/Istanbul,2024-05-16 11:45,Safe
Turkmenistan,Ashgabat,Asia/Ashgabat,2024-05-16 13:45,Safe
Tuvalu,Funafuti,Pacific/Funafuti,2024-05-16 20:45,Unsafe
Uganda,Kampala,Africa/Kampala,2024-05-16 11:45,Safe
Ukraine,Kyiv,Europe/Kiev,2024-05-16 11:45,Safe
United Arab Emirates,Abu Dhabi,Asia/Dubai,2024-05-16 12:45,Caution
United Kingdom,London,Europe/London,2024-05-16 09:45,Caution
United States of America,Washington Park,America/Los_Angeles,2024-05-16 01:45,Safe
Uruguay,Montevideo,America/Montevideo,2024-05-16 05:45,Caution
Uzbekistan,Tashkent,Asia/Tashkent,2024-05-16 13:45,Safe
Vanuatu,Port Vila,Pacific/Efate,2024-05-16 19:45,Caution
Venezuela,Caracas,America/Caracas,2024-05-16 04:45,Caution
Vietnam,Hanoi,Asia/Bangkok,2024-05-16 15:45,Unsafe
Yemen,Sanaa,Asia/Aden,2024-05-16 11:45,Caution
Zambia,Lusaka,Africa/Lusaka,2024-05-16 10:45,Safe
Zimbabwe,Harare,Africa/Harare,2024-05-16 10:45,Unsafe
Afghanistan,Kabul,Asia/Kabul,2024-05-16 18:30,Safe
Albania,Tirana,Europe/Tirane,2024-05-16 16:00,Safe
Algeria,Algiers,Africa/Algiers,2024-05-16 15:00,Caution
Andorra,Andorra La Vella,Europe/Andorra,2024-05-16 16:00,Caution
Angola,Luanda,Africa/Luanda,2024-05-16 15:00,Caution
Antigua and Barbuda,Saint John's,America/Antigua,2024-05-16 10:00,Safe
Argentina,Buenos Aires,America/Argentina/Buenos_Aires,2024-05-16 11:00,Caution
Armenia,Yerevan,Asia/Yerevan,2024-05-16 18:00,Caution
Australia,Canberra,Australia/Sydney,2024-05-17 00:00,Unsafe
Austria,Vienna,Europe/Vienna,2024-05-16 16:00,Safe
Azerbaijan,Baku,Asia/Baku,2024-05-16 18:00,Safe
Bahamas,Nassau,America/Nassau,2024-05-16 10:00,Caution
Bahrain,Manama,Asia/Bahrain,2024-05-16 17:00,Unsafe
Bangladesh,Dhaka,Asia/Dhaka,2024-05-16 20:00,Caution
Barbados,Bridgetown,America/Barbados,2024-05-16 10:00,Caution
Belarus,Minsk,Europe/Minsk,2024-05-16 17:00,Safe
Belgium,Brussels,Europe/Brussels,2024-05-16 16:00,Caution
Belize,Belmopan,America/Belize,2024-05-16 08:00,Caution
Benin,Porto-Novo,Africa/Porto-Novo,2024-05-16 15:00,Caution
Bhutan,Thimphu,Asia/Thimphu,2024-05-16 20:00,Caution
Bolivia,Sucre,America/La_Paz,2024-05-16 10:00,Safe
Bosnia and Herzegovina,Sarajevo,Europe/Sarajevo,2024-05-16 16:00,Caution
Botswana,Gaborone,Africa/Gaborone,2024-05-16 16:00,Safe
Brazil,Bras,America/Manaus,2024-05-16 10:00,Safe
Brunei Darussalam,Bandar Seri Begawan,Asia/Brunei,2024-05-16 22:00,Unsafe
Bulgaria,Sofia,Europe/Sofia,2024-05-16 17:00,Caution
Burkina Faso,Ouagadougou,Africa/Ouagadougou,2024-05-16 14:00,Unsafe
Burundi,Bujumbura,Africa/Bujumbura,2024-05-16 16:00,Caution
Madagascar,Ivory,Indian/Antananarivo,2024-05-16 17:00,Safe
Cape Verde,Praia,Atlantic/Cape_Verde,2024-05-16 13:00,Caution
Cambodia,Phnom Penh,Asia/Phnom_Penh,2024-05-16 21:00,Caution
Cameroon,Yaounde,Africa/Douala,2024-05-16 15:00,Safe
Canada,Ottawa,America/Toronto,2024-05-16 10:00,Safe
Central African Republic,Bangui,Africa/Bangui,2024-05-16 15:00,Safe
Chad,N'djamena,Africa/Douala,2024-05-16 15:00,Caution
Chile,Santiago,America/Santiago,2024-05-16 10:00,Unsafe
China,Beijing,Asia/Shanghai,2024-05-16 22:00,Unsafe
Bulgaria,Bogot,Europe/Sofia,2024-05-16 17:00,Safe
Comoros,Moroni,Indian/Comoro,2024-05-16 17:00,Caution
Congo,Brazzaville,Africa/Brazzaville,2024-05-16 15:00,Safe
Costa Rica,San Juan,America/Costa_Rica,2024-05-16 08:00,Caution
Croatia,Zagreb,Europe/Zagreb,2024-05-16 16:00,Safe
Cuba,Havana,America/Havana,2024-05-16 10:00,Safe
Cyprus,Nicosia,Asia/Famagusta,2024-05-16 17:00,Safe
Czech Republic,Prague,Europe/Prague,2024-05-16 16:00,Caution
Democratic Republic of Congo,Kinshasa,Africa/Brazzaville,2024-05-16 15:00,Safe
Denmark,Copenhagen,Europe/Copenhagen,2024-05-16 16:00,Unsafe
Djibouti,Djibouti,Africa/Djibouti,2024-05-16 17:00,Safe
Dominica,Roseau,America/Dominica,2024-05-16 10:00,Caution
Dominican Republic,Santo Domingo,America/Santo_Domingo,2024-05-16 10:00,Caution
Ecuador,Quito,America/Guayaquil,2024-05-16 09:00,Caution
Egypt,Cairo,Africa/Cairo,2024-05-16 17:00,Caution
El Salvador,San Salvador,America/El_Salvador,2024-05-16 08:00,Caution
Equatorial Guinea,Malabo,Africa/Malabo,2024-05-16 15:00,Caution
Eritrea,Asmara,Africa/Asmara,2024-05-16 17:00,Safe
Estonia,Tallinn,Europe/Tallinn,2024-05-16 17:00,Caution
Swaziland,Mbabane,Africa/Mbabane,2024-05-16 16:00,Caution
Ethiopia,Addis Ababa,Africa/Addis_Ababa,2024-05-16 17:00,Caution
Fiji Islands,Suva,Pacific/Fiji,2024-05-17 02:00,Unsafe
Finland,Helsinki,Europe/Helsinki,2024-05-16 17:00,Caution
France,Paris,Europe/Paris,2024-05-16 16:00,Safe
Gabon,Libreville,Africa/Libreville,2024-05-16 15:00,Caution
Gambia,Banjul,Africa/Banjul,2024-05-16 14:00,Caution
Georgia,Tbilisi,Asia/Tbilisi,2024-05-16 18:00,Caution
Germany,Berlin,Europe/Berlin,2024-05-16 16:00,Caution
Ghana,Accra,Africa/Accra,2024-05-16 14:00,Safe
Greece,Athens,Europe/Athens,2024-05-16 17:00,Safe
Grenada,Saint George's,America/Grenada,2024-05-16 10:00,Safe
Guatemala,Guatemala City,America/Guatemala,2024-05-16 08:00,Unsafe
Guinea,Conakry,Africa/Conakry,2024-05-16 14:00,Safe
Guinea-Bissau,Bissau,Africa/Bissau,2024-05-16 14:00,Safe
Guyana,Georgetown,America/Guyana,2024-05-16 10:00,Caution
Haiti,Port-Au-Prince,America/Port-au-Prince,2024-05-16 10:00,Caution
Vatican City,Vatican City,Europe/Rome,2024-05-16 16:00,Caution
Honduras,Tegucigalpa,America/Tegucigalpa,2024-05-16 08:00,Caution
Hungary,Budapest,Europe/Budapest,2024-05-16 16:00,Caution
Iceland,Grindavik,Atlantic/Reykjavik,2024-05-16 14:00,Safe
India,New Delhi,Asia/Kolkata,2024-05-16 19:30,Caution
Indonesia,Jakarta,Asia/Jakarta,2024-05-16 21:00,Unsafe
Iran,Tehran,Asia/Tehran,2024-05-16 17:30,Safe
Iraq,Baghdad,Asia/Baghdad,2024-05-16 17:00,Safe
Ireland,Dublin,Europe/Dublin,2024-05-16 15:00,Safe
Israel,Jerusalem,Asia/Jerusalem,2024-05-16 17:00,Caution
Italy,Rome,Europe/Rome,2024-05-16 16:00,Caution
Jamaica,Norman Gardens,America/Jamaica,2024-05-16 09:00,Safe
Japan,Tokyo,Asia/Tokyo,2024-05-16 23:00,Unsafe
Jordan,Amman,Asia/Amman,2024-05-16 17:00,Safe
Kazakhstan,Astana,Asia/Almaty,2024-05-16 19:00,Safe
Kenya,Nairobi,Africa/Nairobi,2024-05-16 17:00,Caution
Kiribati,Tarawa,Pacific/Tarawa,2024-05-17 02:00,Caution
Kuwait,Kuwait City,Asia/Kuwait,2024-05-16 17:00,Caution
Kyrghyzstan,Bishkek,Asia/Bishkek,2024-05-16 20:00,Unsafe
Indonesia,Laos,Asia/Jakarta,2024-05-16 21:00,Unsafe
Latvia,Riga,Europe/Riga,2024-05-16 17:00,Safe
Lebanon,Beirut,Asia/Beirut,2024-05-16 17:00,Safe
Lesotho,Maseru,Africa/Johannesburg,2024-05-16 16:00,Safe
Liberia,Monrovia,Africa/Monrovia,2024-05-16 14:00,Safe
Thailand,Nan,Asia/Bangkok,2024-05-16 21:00,Caution
Liechtenstein,Vaduz,Europe/Vaduz,2024-05-16 16:00,Safe
Lithuania,Vilnius,Europe/Vilnius,2024-05-16 17:00,Safe
Luxembourg,Luxembourg,Europe/Luxembourg,2024-05-16 16:00,Safe
Madagascar,Antananarivo,Indian/Antananarivo,2024-05-16 17:00,Safe
Malawi,Lilongwe,Africa/Blantyre,2024-05-16 16:00,Safe
Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur,2024-05-16 22:00,Unsafe
Maldives,Felidhoo,Indian/Maldives,2024-05-16 19:00,Caution
Mali,Bamako,Africa/Bamako,2024-05-16 14:00,Safe
Malta,Valletta,Europe/Malta,2024-05-16 16:00,Caution
Marshall Islands,Majuro,Pacific/Majuro,2024-05-17 02:00,Caution
Mauritania,Nouakchott,Africa/Nouakchott,2024-05-16 14:00,Caution
Mauritius,Port Louis,Indian/Mauritius,2024-05-16 18:00,Caution
Mexico,Mexico City,America/Mexico_City,2024-05-16 08:00,Caution
Micronesia,Palikir,Pacific/Pohnpei,2024-05-17 01:00,Unsafe
Iran,Chi Chi Khvar,Asia/Tehran,2024-05-16 17:30,Safe
Monaco,Monaco,Europe/Monaco,2024-05-16 16:00,Caution
Mongolia,Ulaanbaatar,Asia/Ulaanbaatar,2024-05-16 22:00,Safe
Montenegro,Podgorica,Europe/Podgorica,2024-05-16 16:00,Safe
Morocco,Rabat,Africa/Casablanca,2024-05-16 15:00,Safe
Mozambique,Maputo,Africa/Maputo,2024-05-16 16:00,Safe
Myanmar,Pathein,Asia/Yangon,2024-05-16 20:30,Safe
Namibia,Windhoek,Africa/Windhoek,2024-05-16 16:00,Safe
Turkey,Yaren,Europe/Istanbul,2024-05-16 17:00,Safe
Nepal,Kathmandu,Asia/Kathmandu,2024-05-16 19:45,Caution
Netherlands,Amsterdam,Europe/Amsterdam,2024-05-16 16:00,Safe
New Zealand,Wellington,Pacific/Auckland,2024-05-17 02:00,Safe
Nicaragua,Managua,America/Managua,2024-05-16 08:15,Caution
Niger,Niamey,Africa/Niamey,2024-05-16 15:00,Caution
Nigeria,Abuja,Africa/Lagos,2024-05-16 15:15,Safe
North Korea,Pyongyang,Asia/Pyongyang,2024-05-16 23:15,Caution
Macedonia,Skopje,Europe/Skopje,2024-05-16 16:00,Unsafe
Norway,Oslo,Europe/Oslo,2024-05-16 16:15,Unsafe
Oman,Muscat,Asia/Muscat,2024-05-16 18:15,Caution
Pakistan,Islamabad,Asia/Karachi,2024-05-16 19:00,Caution
Palau,Meyungs,Pacific/Palau,2024-05-16 23:15,Caution
Bolivia,National,America/La_Paz,2024-05-16 10:15,Safe
Panama,Panama City,America/Panama,2024-05-16 09:15,Caution
Papua New Guinea,Port Moresby,Pacific/Port_Moresby,2024-05-17 00:15,Unsafe
Paraguay,Pasto,America/La_Paz,2024-05-16 10:15,Safe
Peru,Lima,America/Lima,2024-05-16 09:00,Caution
Philippines,Manila,Asia/Manila,2024-05-16 22:00,Caution
Poland,Warsaw,Europe/Warsaw,2024-05-16 16:00,Caution
Portugal,Lisbon,Europe/Lisbon,2024-05-16 15:15,Safe
Qatar,Doha,Asia/Qatar,2024-05-16 17:15,Caution
Romania,Bucharest,Europe/Bucharest,2024-05-16 17:15,Safe
Russia,Moscow,Europe/Moscow,2024-05-16 17:15,Safe
Rwanda,Kigali,Africa/Kigali,2024-05-16 16:15,Safe
Saint Kitts and Nevis,Basseterre,America/St_Kitts,2024-05-16 10:15,Safe
Saint Lucia,Castries,America/St_Lucia,2024-05-16 10:00,Safe
Saint Vincent and the Grenadines,Kingstown,America/St_Vincent,2024-05-16 10:15,Caution
Samoa,Apia,Pacific/Apia,2024-05-17 03:15,Caution
San Marino,San Marino,Europe/Rome,2024-05-16 16:15,Caution
Belgium,'S Gravenstaffel,Europe/Brussels,2024-05-16 16:15,Unsafe
Saudi Arabia,Riyadh,Asia/Riyadh,2024-05-16 17:15,Caution
Senegal,Dakar,Africa/Dakar,2024-05-16 14:15,Safe
Serbia,Belgrade,Europe/Belgrade,2024-05-16 16:00,Caution
Seychelles Islands,Victoria,Indian/Mahe,2024-05-16 18:15,Caution
Sierra Leone,Freetown,Africa/Freetown,2024-05-16 14:15,Caution
Singapore,Singapore,Asia/Singapore,2024-05-16 22:15,Unsafe
Slovakia,Bratislava,Europe/Bratislava,2024-05-16 16:00,Caution
Slovenia,Ljubljana,Europe/Ljubljana,2024-05-16 16:15,Safe
Solomon Islands,Honiara,Pacific/Guadalcanal,2024-05-17 01:15,Caution
Somalia,Mogadishu,Africa/Mogadishu,2024-05-16 17:15,Caution
South Africa,Pretoria,Africa/Johannesburg,2024-05-16 16:15,Caution
South Korea,Seoul,Asia/Seoul,2024-05-16 23:15,Caution
Sudan,Juba,Africa/Khartoum,2024-05-16 16:15,Caution
Spain,Madrid,Europe/Madrid,2024-05-16 16:15,Safe
Sri Lanka,Colombo,Asia/Colombo,2024-05-16 19:45,Unsafe
Sudan,Khartoum,Africa/Khartoum,2024-05-16 16:15,Caution
Suriname,Paramaribo,America/Paramaribo,2024-05-16 11:15,Safe
Sweden,Stockholm,Europe/Stockholm,2024-05-16 16:15,Safe
Switzerland,Bern,Europe/Zurich,2024-05-16 16:15,Unsafe
Syria,Damascus,Asia/Damascus,2024-05-16 17:15,Safe
Tajikistan,Dushanbe,Asia/Dushanbe,2024-05-16 19:15,Safe
Tanzania,Dodoma,Africa/Dar_es_Salaam,2024-05-16 17:15,Safe
Thailand,Bangkok,Asia/Bangkok,2024-05-16 21:15,Unsafe
Timor-Leste,Dili,Asia/Dili,2024-05-16 23:15,Caution
Bulgaria,Lom,Europe/Bucharest,2024-05-16 17:15,Safe
Tonga,Nuku`Aloia,Pacific/Tongatapu,2024-05-17 03:15,Unsafe
Trinidad and Tobago,Port Of Spain,America/Port_of_Spain,2024-05-16 10:00,Safe
Tunisia,Tunis,Africa/Tunis,2024-05-16 15:15,Safe
Turkey,Ankara,Europe/Istanbul,2024-05-16 17:15,Safe
Turkmenistan,Ashgabat,Asia/Ashgabat,2024-05-16 19:15,Unsafe
Tuvalu,Funafuti,Pacific/Funafuti,2024-05-17 02:15,Caution
Uganda,Kampala,Africa/Kampala,2024-05-16 17:15,Safe
Ukraine,Kyiv,Europe/Kiev,2024-05-16 17:00,Safe
United Arab Emirates,Abu Dhabi,Asia/Dubai,2024-05-16 18:15,Caution
United Kingdom,London,Europe/London,2024-05-16 15:15,Caution
United States of America,Washington Park,America/Los_Angeles,2024-05-16 07:15,Caution
Uruguay,Montevideo,America/Montevideo,2024-05-16 11:15,Caution
